,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
60,Matola,-25.9622,32.4589,64.13,77,75,9.22,MZ,1635649157
61,Ponta do Sol,32.6667,-17.1,68.85,73,69,6.35,PT,1635649068
62,Bambous Virieux,-20.3428,57.7575,68.25,94,75,3.44,MU,1635649159
63,Hithadhoo,-0.6,73.0833,82.6,77,100,20.13,MV,1635649161
64,Constantine,36.365,6.6147,60.21,55,0,3.44,DZ,1635649163
65,Chimbote,-9.0853,-78.5783,62.58,87,61,7.63,PE,1635649164
66,Marigot,18.0667,-63.0833,82.18,74,20,6.91,MF,1635649165
67,Nyuksenitsa,60.4128,44.2397,40.33,95,87,7.2,RU,1635649167
68,Marawi,7.9986,124.2928,74.64,86,100,4.27,PH,1635649168
69,Maţāy,28.419,30.7792,77.25,39,100,3.8,EG,1635649170
70,Geraldton,-28.7667,114.6,75.61,43,0,11.5,AU,1635649171
71,Miraflores,19.2167,-98.8083,62.87,69,16,2.08,MX,1635649172
72,Tiksi,71.6872,128.8694,13.53,74,100,13.85,RU,1635649174
73,Hamilton,39.1834,-84.5333,52.36,94,90,1.99,US,1635649175
74,Izumo,35.3667,132.7667,69.69,60,40,4.61,JP,1635649176
75,Faanui,-16.4833,-151.75,78.94,66,43,14.63,PF,1635649105
76,Atuona,-9.8,-139.0333,77.99,75,18,12.91,PF,1635649180
77,Tasiilaq,65.6145,-37.6368,18.66,66,100,4.09,GL,1635649181
78,Kaitangata,-46.2817,169.8464,47.79,93,100,18.72,NZ,1635649182
79,Puerto Ayora,-0.7393,-90.3518,70.57,86,100,8.25,EC,1635648992
80,Castro,-24.7911,-50.0119,59.43,97,100,10.67,BR,1635648954
81,Longyearbyen,78.2186,15.6401,18.93,84,86,4.27,SJ,1635649186
82,Volga,57.9516,38.3879,43.02,90,100,9.62,RU,1635649187
83,Safi,32.2994,-9.2372,64.49,80,16,2.75,MA,1635649188
84,Clyde River,70.4692,-68.5914,30.15,97,100,16.28,CA,1635649190
85,Simplício Mendes,-7.8539,-41.9103,79.83,35,21,3.58,BR,1635649191
86,Yellowknife,62.456,-114.3525,27.46,94,40,9.22,CA,1635649193
87,Bar Harbor,44.3876,-68.2039,51.98,85,100,11.99,US,1635649195
88,Margate,51.3813,1.3862,51.19,85,100,5.99,GB,1635649196
89,Le Marin,14.4721,-60.8697,76.91,83,75,2.3,MQ,1635649197
90,Pisco,-13.7,-76.2167,62.65,88,90,10.36,PE,1635649199
91,Srednekolymsk,67.45,153.6833,-0.15,93,100,8.25,RU,1635649200
92,Hobart,-42.8794,147.3294,60.46,55,75,4.0,AU,1635649202
93,Husavik,66.0449,-17.3389,37.09,97,100,22.26,IS,1635649204
94,Bone,51.9669,12.1396,50.86,77,91,7.2,DE,1635649208
95,Nishihara,26.1842,127.7558,78.08,57,20,13.8,JP,1635649106
96,Thompson,55.7435,-97.8558,33.96,93,90,5.75,CA,1635649210
97,Onverwacht,5.5833,-55.1833,74.98,94,87,2.48,SR,1635649212
98,Torbay,47.6666,-52.7314,36.21,77,0,1.99,CA,1635649214
99,Eidfjord,60.4675,7.0719,54.43,96,100,6.24,NO,1635649216
100,Vila Franca do Campo,37.7167,-25.4333,74.19,95,100,13.67,PT,1635649217
101,Mount Isa,-20.7333,139.5,92.97,18,14,11.5,AU,1635649219
102,Hilo,19.7297,-155.09,74.75,92,24,4.09,US,1635649220
103,Havøysund,70.9963,24.6622,31.08,76,100,17.25,NO,1635649222
104,Bethel,41.3712,-73.414,54.99,94,100,1.7,US,1635648944
105,Cockburn Town,21.4612,-71.1419,82.71,61,71,10.47,TC,1635649225
106,Souillac,-20.5167,57.5167,76.35,78,15,4.45,MU,1635649226
107,Lorengau,-2.0226,147.2712,83.79,76,80,7.45,PG,1635649229
108,Pacific Grove,36.6177,-121.9166,57.11,91,90,3.0,US,1635649047
109,Ngunguru,-35.6167,174.5,65.16,64,100,8.97,NZ,1635649231
110,Muhafazat Lahij,13.1667,44.5833,75.6,72,18,7.09,YE,1635649234
111,Deputatsky,69.3,139.9,-6.23,96,98,4.5,RU,1635649235
112,Shīeli,44.1667,66.75,40.6,71,0,7.0,KZ,1635649237
113,Buala,-8.145,159.5921,85.19,70,100,8.41,SB,1635649224
114,Mount Gambier,-37.8333,140.7667,64.13,44,0,6.98,AU,1635649239
115,Tual,-5.6667,132.75,83.5,71,65,7.63,ID,1635649240
116,Boffa,10.1667,-14.0333,75.51,95,57,3.09,GN,1635649242
117,Nanortalik,60.1432,-45.2371,34.36,74,3,3.09,GL,1635649243
118,Ambulu,-8.345,113.6058,86.63,66,55,6.04,ID,1635649244
119,Malbork,54.0359,19.0266,46.42,75,19,11.77,PL,1635649246
120,Andros Town,24.7,-77.7667,79.65,63,57,12.33,BS,1635649247
121,Alofi,-19.0595,-169.9187,77.18,71,100,18.19,NU,1635649248
122,Norman Wells,65.282,-126.8329,21.24,93,20,6.91,CA,1635649111
123,Bollnäs,61.3482,16.3946,41.13,98,100,3.6,SE,1635649251
124,Karaikudi,10.0667,78.7833,78.82,84,100,12.95,IN,1635648999
125,San Cristobal,7.7669,-72.225,65.91,99,100,1.03,VE,1635649253
126,Catuday,16.2923,119.8062,83.52,59,12,9.24,PH,1635649254
127,Liverpool,53.4106,-2.9779,46.13,88,0,5.01,GB,1635648959
128,Keetmanshoop,-26.5833,18.1333,67.96,29,0,7.67,NA,1635649257
129,Paamiut,61.994,-49.6678,32.2,92,100,8.01,GL,1635649258
130,Ambrolauri,42.5211,43.1622,52.5,82,6,6.15,GE,1635649259
131,Tuy Hoa,13.0833,109.3,80.89,82,55,8.23,VN,1635649263
132,Lebu,-37.6167,-73.65,51.39,91,100,9.8,CL,1635649265
133,Hofn,64.2539,-15.2082,42.96,64,100,14.72,IS,1635649241
134,Omboué,-1.5746,9.2618,73.89,98,100,2.55,GA,1635649267
135,Hasaki,35.7333,140.8333,59.4,71,85,11.65,JP,1635649268
136,Madzhalis,42.1217,47.8333,47.97,89,85,3.18,RU,1635649270
137,Sur,22.5667,59.5289,81.16,64,7,11.16,OM,1635649271
138,Vanimo,-2.6741,141.3028,83.34,79,98,6.6,PG,1635649272
139,Eirunepé,-6.6603,-69.8736,76.05,82,43,2.33,BR,1635649274
140,Cochrane,51.1834,-114.4687,23.02,73,1,10.36,CA,1635649165
141,Ancud,-41.8697,-73.8203,49.12,67,0,4.79,CL,1635649277
142,Siparia,10.1333,-61.5,75.07,95,92,7.45,TT,1635649279
143,Chase,50.8165,-119.6857,31.44,62,1,1.07,CA,1635649280
144,Moyobamba,-6.05,-76.9667,65.32,98,14,0.87,PE,1635649281
145,Garoowe,8.4054,48.4845,71.15,83,83,6.26,SO,1635649142
146,Merritt Island,28.5392,-80.672,63.81,81,17,7.0,US,1635649227
147,Qaanaaq,77.484,-69.3632,1.13,58,0,7.2,GL,1635649285
148,São Filipe,14.8961,-24.4956,79.95,72,100,12.12,CV,1635649286
149,Avarua,-21.2078,-159.775,77.05,61,20,10.36,CK,1635649288
150,Henties Bay,-22.116,14.2845,55.85,92,0,2.66,NA,1635649289
151,Port Hardy,50.6996,-127.4199,42.96,62,8,2.26,CA,1635649233
152,Verkhoyansk,67.5447,133.385,-4.25,94,45,1.72,RU,1635649292
153,Caravelas,-17.7125,-39.2481,72.0,91,100,5.77,BR,1635649294
154,Santa Fe,-31.6333,-60.7,80.82,54,12,1.99,AR,1635649296
155,Chernushka,56.5072,56.0766,37.24,100,100,4.59,RU,1635649297
156,Khatanga,71.9667,102.5,5.41,96,100,1.97,RU,1635649241
157,Novorzhev,57.0294,29.3338,45.61,81,12,9.78,RU,1635649300
158,Bogotol,56.2078,89.5342,27.66,64,99,8.25,RU,1635649302
159,Bontang,0.1333,117.5,84.34,69,86,7.74,ID,1635649304
160,Washougal,45.5826,-122.3534,51.1,41,11,7.83,US,1635649232
161,Point Fortin,10.1833,-61.6833,75.65,82,96,10.07,TT,1635649306
162,Viranşehir,37.2353,39.7631,58.89,75,87,21.05,TR,1635649307
163,Leningradskiy,69.3833,178.4167,-0.22,97,100,6.58,RU,1635649309
164,Sterling,39.0062,-77.4286,53.82,94,90,0.0,US,1635649069
165,Ankang,32.68,109.0172,61.66,64,100,1.07,CN,1635649311
166,Oranjemund,-28.55,16.4333,59.0,95,21,2.98,NA,1635649312
167,Nola,40.922,14.5329,58.95,86,88,2.13,IT,1635649314
168,Upernavik,72.7868,-56.1549,30.24,71,100,5.48,GL,1635649315
169,Rūdbār,30.15,62.6,64.81,32,0,5.61,AF,1635649316
170,Changping,40.2186,116.2197,59.25,29,3,7.0,CN,1635649318
171,Melfi,40.9965,15.6514,54.5,82,79,1.86,IT,1635649319
172,New Norfolk,-42.7826,147.0587,59.02,47,100,8.01,AU,1635649320
173,Sisimiut,66.9395,-53.6735,34.92,98,100,34.16,GL,1635649322
174,Qinhuangdao,39.9317,119.5883,52.92,60,96,15.75,CN,1635649216
175,Solnechnyy,50.7214,136.6319,33.46,49,4,5.57,RU,1635649325
176,Meadow Lake,34.8014,-106.5436,57.38,32,0,1.79,US,1635649326
177,Pringsewu,-5.3582,104.9744,89.04,58,41,3.71,ID,1635649327
178,Magadan,59.5667,150.8,21.24,51,98,12.66,RU,1635649329
179,Carmarthen,51.8555,-4.3054,55.62,90,100,27.94,GB,1635649330
180,Folsom,38.678,-121.1761,61.9,71,90,1.99,US,1635649075
181,Chicama,-7.8447,-79.1469,64.96,81,94,6.04,PE,1635649333
182,Shache,38.4167,77.2406,48.33,30,6,5.99,CN,1635649335
183,Saiha,22.4833,92.9667,78.03,73,31,1.63,IN,1635649336
184,San Patricio,28.017,-97.5169,66.34,41,0,7.31,US,1635649338
185,Dongsheng,39.8161,109.9776,37.22,46,0,9.22,CN,1635649339
186,Blytheville,35.9273,-89.919,53.96,76,2,5.01,US,1635649109
187,Sept-Îles,50.2001,-66.3821,41.09,71,75,1.99,CA,1635649143
188,Toora-Khem,52.4675,96.11,31.71,86,100,1.3,RU,1635649342
189,Yokadouma,3.5167,15.05,69.62,97,99,0.76,CM,1635649344
190,Ilulissat,69.2167,-51.1,33.78,85,100,11.18,GL,1635649155
191,Mareeba,-17.0,145.4333,91.58,45,48,11.48,AU,1635649346
192,Palmer,42.1584,-72.3287,56.12,87,90,8.05,US,1635649347
193,Paracatu,-17.2222,-46.8747,69.64,83,100,6.42,BR,1635649349
194,Itoman,26.1247,127.6694,78.82,57,20,13.8,JP,1635649351
195,Dwārka,22.2394,68.9678,80.11,46,22,4.63,IN,1635649353
196,General Roca,-39.0333,-67.5833,56.62,40,99,19.19,AR,1635649354
197,Ponta Delgada,37.7333,-25.6667,72.32,94,75,13.8,PT,1635649249
198,Saint Paul Harbor,57.79,-152.4072,46.27,84,100,32.82,US,1635649357
199,Namatanai,-3.6667,152.4333,83.14,76,100,8.52,PG,1635649358
200,Richards Bay,-28.783,32.0377,61.07,83,9,6.04,ZA,1635649155
201,Tuktoyaktuk,69.4541,-133.0374,17.33,84,49,8.5,CA,1635649362
202,Szob,47.8192,18.8702,44.42,83,3,5.17,HU,1635649363
203,Cherskiy,68.75,161.3,2.19,97,100,6.31,RU,1635649364
204,Saskylakh,71.9167,114.0833,12.63,94,100,10.67,RU,1635649365
205,Verkhnevilyuysk,63.4453,120.3167,25.74,92,100,8.46,RU,1635649367
206,Port-Gentil,-0.7193,8.7815,76.08,92,100,10.54,GA,1635649368
207,São Miguel do Araguaia,-13.275,-50.1628,75.88,73,57,3.56,BR,1635649369
208,Chengde,40.9725,117.9361,49.77,65,81,2.73,CN,1635649372
209,Fairbanks,64.8378,-147.7164,36.57,62,1,9.22,US,1635649373
210,Kalur Kot,32.1564,71.2594,76.01,23,0,3.06,PK,1635649374
211,Arraial do Cabo,-22.9661,-42.0278,70.47,90,100,16.28,BR,1635649376
212,Hadejia,12.4498,10.0444,78.04,18,100,8.84,NG,1635649377
213,Borgarnes,64.5383,-21.9206,37.8,78,44,12.75,IS,1635649378
214,Mahébourg,-20.4081,57.7,76.24,76,6,4.85,MU,1635649380
215,Piriyāpatna,12.3397,76.0992,74.12,90,99,7.23,IN,1635649381
216,Dudinka,69.4058,86.1778,6.75,96,100,7.65,RU,1635649382
217,North Platte,41.1239,-100.7654,42.85,74,1,3.0,US,1635649384
218,Zambezi,-13.5432,23.1047,70.3,64,82,3.4,ZM,1635649387
219,College,64.8569,-147.8028,27.59,61,100,4.92,US,1635649115
220,Kamaishi,39.2667,141.8833,62.26,63,100,7.54,JP,1635649391
221,Peniche,39.3558,-9.3811,67.75,94,92,18.07,PT,1635649392
222,Estelle,29.8458,-90.1067,59.02,73,0,5.57,US,1635649394
223,Gorontalo,0.5412,123.0595,87.37,65,91,2.57,ID,1635649395
224,Bluff,-46.6,168.3333,49.82,67,100,25.72,NZ,1635649396
225,Mundra,22.85,69.7333,80.33,34,33,4.27,IN,1635649398
226,Abu Dhabi,24.4667,54.3667,78.82,73,0,4.61,AE,1635649382
227,Kastamonu Province,41.5,33.6667,38.62,82,2,0.96,TR,1635649402
228,Constitución,-35.3333,-72.4167,55.09,83,100,9.91,CL,1635649404
229,Nouadhibou,20.931,-17.0347,68.86,77,46,12.64,MR,1635649405
230,Lagoa,39.05,-27.9833,68.59,88,100,13.65,PT,1635649406
231,Khovd,48.0056,91.6419,40.32,34,100,5.17,MN,1635649409
232,Aklavik,68.2191,-135.0107,16.63,89,92,9.01,CA,1635649140
233,Panji,-7.7253,114.0995,89.08,58,85,8.05,ID,1635649412
234,Aitape,-3.1374,142.3475,84.88,73,71,7.49,PG,1635649413
235,Fort Nelson,58.8053,-122.7002,29.68,55,6,3.96,CA,1635649233
236,Mossamedes,-15.1961,12.1522,65.17,80,73,5.73,AO,1635649417
237,Pitimbu,-7.4706,-34.8086,77.59,72,18,11.16,BR,1635649418
238,Vitim,59.4511,112.5578,33.75,97,100,10.98,RU,1635649420
239,Manggar,-2.8833,108.2667,86.92,64,72,7.52,ID,1635649421
240,Anking,30.5092,117.0506,72.34,36,81,7.99,CN,1635649228
241,Port Macquarie,-31.4333,152.9167,68.9,52,75,9.78,AU,1635649345
242,Unaí,-16.3575,-46.9061,76.24,66,100,6.26,BR,1635649425
243,Cabedelo,-6.9811,-34.8339,77.9,74,19,12.12,BR,1635649247
244,Shchebetovka,44.9333,35.15,47.16,87,1,7.43,UA,1635649428
245,Vondrozo,-22.8167,47.2833,63.9,96,99,0.4,MG,1635649429
246,Caniço,32.6333,-16.85,70.12,84,20,3.44,PT,1635649430
247,Gweta,-20.1833,25.2333,78.08,37,18,5.86,BW,1635649432
248,Bengkulu,-3.8004,102.2655,82.89,75,100,5.14,ID,1635649434
249,Vygonichi,53.0985,34.0673,42.91,93,90,8.95,RU,1635649435
250,Chokurdakh,70.6333,147.9167,-0.47,98,99,6.67,RU,1635649437
251,Naryan-Mar,67.6713,53.087,16.77,88,98,14.29,RU,1635649227
252,Surab,28.4914,66.2585,52.84,31,0,9.78,PK,1635649439
253,Sonoita,31.85,-112.8333,71.19,31,0,3.36,MX,1635649441
254,Birao,10.2849,22.7882,72.64,34,100,1.7,CF,1635649335
255,Northam,51.0333,-4.2167,54.52,87,100,26.37,GB,1635649443
256,Acaraú,-2.8856,-40.12,79.29,81,34,10.22,BR,1635649444
257,Maniitsoq,65.4167,-52.9,35.69,94,100,21.81,GL,1635649446
258,San Rafael,-34.6177,-68.3301,60.49,44,21,15.46,AR,1635649447
259,Bandarbeyla,9.4942,50.8122,78.69,79,97,9.82,SO,1635649448
260,Eureka,40.8021,-124.1637,56.3,93,24,3.0,US,1635649339
261,Djenné,13.9061,-4.5533,84.49,41,86,8.01,ML,1635649451
262,Bafra,41.5678,35.9069,54.82,78,64,5.68,TR,1635649453
263,Preobrazheniye,42.9019,133.9064,57.96,62,17,2.51,RU,1635649454
264,Tomatlán,19.9333,-105.25,74.44,93,7,2.28,MX,1635649456
265,Port Elizabeth,-33.918,25.5701,59.85,91,63,5.61,ZA,1635649457
266,Loíza,18.4313,-65.8802,76.41,75,2,5.37,PR,1635649458
267,Vila Velha,-20.3297,-40.2925,71.55,100,90,3.44,BR,1635649460
268,Olinda,-8.0089,-34.8553,80.33,69,40,8.05,BR,1635649461
269,Yulara,-25.2406,130.9889,75.04,40,100,21.25,AU,1635649462
270,Caraballeda,10.6112,-66.8522,81.37,86,40,2.3,VE,1635649464
271,Te Anau,-45.4167,167.7167,53.31,60,67,6.89,NZ,1635649214
272,Le Port,-20.9373,55.2919,72.55,85,1,3.24,RE,1635649466
273,Beringovskiy,63.05,179.3167,9.93,93,100,18.57,RU,1635649467
274,Mkushi,-13.6202,29.3939,67.26,44,86,4.0,ZM,1635649469
275,Balabac,7.9868,117.0645,84.65,76,100,18.19,PH,1635649470
276,Beyneu,45.3167,55.2,45.1,77,0,2.53,KZ,1635649471
277,Ixtapa,20.7,-105.2,74.25,95,17,1.99,MX,1635649473
278,Kalmunai,7.4167,81.8167,82.38,76,72,5.32,LK,1635649474
279,Xining,36.6167,101.7667,39.09,53,27,1.61,CN,1635649475
280,Russell,32.3502,-85.1999,54.16,89,98,7.4,US,1635649233
281,Sistranda,63.7256,8.834,53.56,71,100,31.59,NO,1635649478
282,Hong Kong,22.2855,114.1577,76.35,81,91,1.01,HK,1635649292
283,Chui,-33.6971,-53.4616,63.81,93,7,8.46,UY,1635649480
284,Ginda,30.6945,78.4932,57.13,31,0,1.23,IN,1635649482
285,Cameron Park,38.6688,-120.9872,58.21,80,100,1.01,US,1635649483
286,Kushikino,31.7167,130.2667,71.62,64,48,4.7,JP,1635649485
287,San Quintín,30.4833,-115.95,63.3,85,66,6.22,MX,1635649487
288,Greeneville,36.1632,-82.831,51.91,95,90,6.91,US,1635649488
289,Nurobod,40.9056,69.8023,47.25,48,100,0.89,UZ,1635649489
290,Port-Cartier,50.0334,-66.8654,41.76,72,35,6.71,CA,1635649491
291,Ust-Nera,64.5667,143.2,-3.33,97,80,4.59,RU,1635649492
292,Sabzawār,36.2126,57.6819,54.59,38,0,5.91,IR,1635649493
293,Shaunavon,49.6501,-108.4181,28.83,54,0,10.63,CA,1635649495
294,Kokopo,-4.352,152.2633,87.85,61,97,11.7,PG,1635649496
295,Ahipara,-35.1667,173.1667,62.11,71,98,6.22,NZ,1635649497
296,Baykit,61.67,96.37,18.48,87,100,11.39,RU,1635649499
297,Orotukan,62.2667,151.7,3.83,93,100,4.88,RU,1635649500
298,Maputo,-25.9653,32.5892,66.22,76,74,7.0,MZ,1635649501
299,Zatoka,46.0725,30.4654,52.81,83,21,15.43,UA,1635649503
300,Vizinga,61.0749,50.1031,38.82,99,100,6.91,RU,1635649505
301,Santa Cruz Cabrália,-16.2781,-39.0247,73.26,88,80,5.59,BR,1635649506
302,Soyo,-6.1349,12.3689,77.07,85,100,9.84,AO,1635649508
303,Anchorage,61.2181,-149.9003,43.11,78,90,1.01,US,1635649438
304,Victor Harbor,-35.5667,138.6167,67.17,58,0,1.01,AU,1635649510
305,Vestmannaeyjar,63.4427,-20.2734,43.41,75,99,9.06,IS,1635649512
306,Taoudenni,22.6783,-3.9836,80.04,27,50,9.91,ML,1635649513
307,Kavaratti,10.5669,72.642,81.84,73,99,2.98,IN,1635649514
308,Georgiyevka,43.0369,74.7114,41.04,87,100,4.47,KZ,1635649516
309,Vostok,46.4856,135.8833,45.41,57,74,3.87,RU,1635649517
310,Akdepe,42.0551,59.3788,30.2,53,0,6.51,TM,1635649518
311,The Valley,18.217,-63.0578,77.83,68,4,12.17,AI,1635649519
312,Sri Aman,1.2376,111.4621,80.89,90,98,1.79,MY,1635649521
313,Banjar,-8.19,114.9675,86.92,66,72,4.54,ID,1635649522
314,Saint-Paul,-21.0096,55.2707,73.63,85,2,2.3,RE,1635649523
315,Primo Tapia,32.22,-116.9172,60.96,81,85,3.74,MX,1635649525
316,Tura,25.5198,90.2201,73.71,50,0,0.98,IN,1635649526
317,Lokosovo,61.1333,74.8167,11.1,94,84,5.39,RU,1635649527
318,Saint-Pierre,-21.3393,55.4781,72.27,70,0,5.75,RE,1635649529
319,Casa Nova,-9.4167,-41.1333,79.07,62,27,20.71,BR,1635649530
320,Aksu,41.1231,80.2644,47.5,48,82,1.83,CN,1635649531
321,Chālūs,36.655,51.4204,59.94,77,51,2.24,IR,1635649533
322,Sitka,57.0531,-135.33,44.49,70,40,5.75,US,1635649534
323,Matara,5.9485,80.5353,81.36,80,27,3.18,LK,1635649535
324,Bucyrus,40.8084,-82.9755,50.49,95,100,8.68,US,1635649537
325,Corral Nuevo,18.1146,-95.1154,68.74,79,12,3.83,MX,1635649538
326,Kindu,-2.95,25.95,69.17,99,100,2.68,CD,1635649539
327,Karratha,-20.7377,116.8463,81.1,45,0,14.0,AU,1635649541
328,Camopi,3.1655,-52.3158,72.48,99,100,1.43,GF,1635649542
329,Dali,25.7,100.1833,63.97,60,38,3.44,CN,1635649543
330,Channel-Port aux Basques,47.5702,-59.1367,46.78,61,2,8.55,CA,1635649544
331,La Maddalena,41.2142,9.4083,60.85,84,100,7.52,IT,1635649546
332,San-Pédro,4.7485,-6.6363,74.91,94,100,5.08,CI,1635649548
333,Almaznyy,48.0448,40.045,33.94,80,0,6.46,RU,1635649550
334,Beni Suef,29.0731,31.0979,76.26,40,100,4.83,EG,1635649551
335,Bilma,18.6853,12.9164,77.16,30,49,15.82,NE,1635649552
336,Athens,37.9795,23.7162,59.5,77,54,4.0,GR,1635649284
337,Quatre Cocos,-20.2078,57.7625,74.12,77,8,6.26,MU,1635649555
338,Kokkola,63.8385,23.1307,45.32,85,90,5.75,FI,1635649556
339,Mumford,5.2618,-0.759,77.16,91,99,9.31,GH,1635649557
340,Khani,41.9563,42.9566,53.17,78,45,6.53,GE,1635649559
341,Tierralta,8.1736,-76.0592,74.93,94,100,4.12,CO,1635649418
342,Hambantota,6.1241,81.1185,77.34,100,40,3.44,LK,1635649561
343,Haines Junction,60.7522,-137.5108,32.88,89,100,4.83,CA,1635649562
344,Tazovsky,67.4667,78.7,5.95,92,100,14.88,RU,1635649564
345,Coyhaique,-45.5752,-72.0662,39.97,53,0,4.36,CL,1635649288
346,Potoci,43.4086,17.8786,51.19,60,0,3.11,BA,1635649567
347,La Palma,33.8464,-118.0467,61.21,86,90,3.44,US,1635649298
348,Östersund,63.1792,14.6357,41.45,100,40,11.5,SE,1635649570
349,Talnakh,69.4865,88.3972,10.51,96,100,4.99,RU,1635649571
350,Meulaboh,4.1363,96.1285,79.0,88,86,12.46,ID,1635649573
351,Atar,20.5169,-13.0499,80.04,26,99,4.83,MR,1635649574
352,Seoul,37.5683,126.9778,61.99,54,44,3.22,KR,1635649325
353,Petersburg,37.2279,-77.4019,52.56,91,1,3.44,US,1635649578
354,Stans,46.9585,8.366,47.79,92,75,2.3,CH,1635649580
355,Yārāda,17.65,83.2667,82.72,74,75,3.44,IN,1635649581
356,Morant Bay,17.8815,-76.4093,76.62,85,70,5.5,JM,1635649584
357,Nevel',56.0209,29.9284,42.64,79,14,8.95,RU,1635649585
