,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
104,Birjand,32.8663,48.67,25,0,4.61,IR,1635627455
105,Bengkulu,-3.8004,75.81,90,100,4.63,ID,1635627387
106,Vaini,-21.2,77.16,88,20,9.22,TO,1635627214
107,São Filipe,14.8961,79.9,75,78,11.74,CV,1635627304
108,Nikolskoye,59.7035,43.14,92,97,7.63,RU,1635627578
109,Marawi,7.9986,66.65,96,29,0.78,PH,1635627350
110,Umm Hājar,13.2954,86.18,16,21,9.95,TD,1635627581
111,Broome,42.2506,54.59,76,90,4.0,US,1635627156
112,Megion,61.0296,10.42,98,54,4.65,RU,1635627583
113,Malinyi,-8.9333,76.78,65,16,2.86,TZ,1635627585
114,Saint Paul Harbor,57.79,47.28,88,100,34.0,US,1635627306
115,Kiryat Gat,31.61,70.77,61,57,2.95,IL,1635627540
116,Bubaque,11.2833,78.98,79,100,5.19,GW,1635627588
117,Bilibino,68.0546,-9.42,100,100,1.57,RU,1635627063
118,Hermanus,-34.4187,59.81,85,75,8.46,ZA,1635627377
119,Dikson,73.5069,6.93,91,100,16.26,RU,1635627374
120,Anuradhapura,8.3565,74.37,95,100,2.91,LK,1635627593
121,Saint George,37.1041,74.97,32,16,1.01,US,1635627461
122,Alta Floresta,-9.8756,91.22,55,20,4.61,BR,1635627596
123,Sturgis,41.7992,51.13,2,100,8.86,US,1635627597
124,Saldanha,-33.0117,60.85,88,37,11.74,ZA,1635627599
125,Lanzhou,36.0564,33.08,61,100,1.52,CN,1635627600
126,Gorokhovets,56.1947,41.88,95,65,7.96,RU,1635627602
127,Chumikan,54.7183,16.3,81,9,9.69,RU,1635627604
128,Cazones de Herrera,20.7167,81.1,58,24,9.17,MX,1635627606
129,Ekpoma,6.7421,72.12,93,62,4.41,NG,1635627608
130,Ancud,-41.8697,62.13,48,0,2.62,CL,1635627569
131,Flin Flon,54.7682,37.17,61,99,9.89,CA,1635627611
132,Mombetsu,44.3525,43.05,61,100,4.38,JP,1635627613
133,Torbay,47.6666,44.01,73,20,2.3,CA,1635627211
134,Port Blair,11.6667,80.38,81,99,2.35,IN,1635627618
135,Venezuela,8.0,86.63,61,94,7.72,VE,1635627619
136,Ocampo,21.65,74.28,22,48,3.62,MX,1635627621
137,Westport,41.1415,58.93,92,75,5.01,US,1635627623
138,Yulara,-25.2406,57.04,94,100,8.05,AU,1635627214
139,Kavieng,-2.5744,82.65,77,50,12.86,PG,1635627466
140,Talcahuano,-36.7167,57.67,72,100,9.75,CL,1635627626
141,Khatanga,71.9667,-6.5,100,73,2.19,RU,1635627373
142,Moree,-29.4667,59.85,59,0,7.02,AU,1635627631
143,Harper,4.375,77.81,86,100,5.57,LR,1635627632
144,Tilichiki,60.4667,2.66,93,16,8.43,RU,1635627634
145,Srednekolymsk,67.45,-9.81,99,100,5.32,RU,1635627275
146,Pangnirtung,66.1451,33.1,99,100,8.84,CA,1635627636
147,Cabo San Lucas,22.8909,85.91,69,12,10.33,MX,1635627448
148,Itumba,-9.4,67.37,60,31,4.5,TZ,1635627639
149,Kapaa,22.0752,82.47,83,10,1.99,US,1635627402
150,Marzuq,14.4,74.26,56,95,3.87,YE,1635627641
151,Ponta do Sol,32.6667,70.75,76,31,6.96,PT,1635627380
152,Sangar,63.9242,-13.02,96,51,5.35,RU,1635627644
153,Morón,-34.6534,86.13,52,0,5.01,AR,1635627645
154,Vao,-22.6667,70.9,74,2,5.61,NC,1635627576
155,Constitución,-35.3333,63.86,64,100,14.12,CL,1635627621
156,Ihosy,-22.4,63.95,86,53,5.99,MG,1635627649
157,Impfondo,1.6381,74.19,82,77,0.87,CG,1635627651
158,Ouango,4.3133,70.95,94,63,1.9,CF,1635627652
159,Mahébourg,-20.4081,71.89,88,20,3.44,MU,1635627423
160,Kruisfontein,-34.0033,55.89,92,1,2.59,ZA,1635627265
161,Ust'-Omchug,61.15,0.63,97,100,7.4,RU,1635627655
162,Bontang,0.1333,77.18,87,99,1.61,ID,1635627633
163,Druskininkai,54.0167,50.07,69,2,10.69,LT,1635627552
164,Mar del Plata,-38.0023,60.53,85,99,10.0,AR,1635627614
165,Taoudenni,22.6783,87.01,25,1,6.82,ML,1635627567
166,Thompson,55.7435,37.56,75,90,11.5,CA,1635627213
167,Caravelas,-17.7125,74.17,85,93,6.62,BR,1635627664
168,Sindor,62.8629,31.26,99,100,2.86,RU,1635627665
169,Tuatapere,-46.1333,49.62,95,100,16.4,NZ,1635627374
170,Taywarah,33.35,36.45,31,4,4.36,AF,1635627215
171,Russell,32.3502,58.08,84,93,10.67,US,1635627671
172,Bethel,41.3712,57.2,90,75,3.44,US,1635627634
173,Severo-Kuril'sk,50.6789,40.5,86,78,11.41,RU,1635627567
174,Nouadhibou,20.931,69.78,83,2,12.66,MR,1635627520
175,Göksun,38.021,47.35,94,100,2.89,TR,1635627675
176,Puerto Escondido,15.85,84.04,73,85,6.6,MX,1635627677
177,Antalaha,-14.9003,72.75,87,65,5.12,MG,1635627678
178,Boa Viagem,-5.1275,85.23,47,99,2.15,BR,1635627680
179,Sedalia,38.7045,60.76,53,0,3.0,US,1635627682
180,Port Elizabeth,-33.918,58.1,93,4,3.42,ZA,1635627575
181,Dukat,62.55,-3.23,98,100,4.09,RU,1635627684
182,Puerto Ayora,-0.7393,72.19,81,94,9.22,EC,1635627686
183,Baykit,61.67,16.93,84,99,11.23,RU,1635627687
184,Faanui,-16.4833,78.13,69,15,16.46,PF,1635627689
185,Devonport,-41.1667,54.0,67,86,12.39,AU,1635627690
186,Skibbereen,51.55,51.6,92,100,27.45,IE,1635627692
187,Qūchān,37.106,46.44,50,61,2.75,IR,1635627694
188,Golden,39.7555,66.06,25,75,7.0,US,1635627603
189,Mossamedes,-15.1961,68.2,72,82,7.74,AO,1635627518
190,Nagato,34.3833,58.19,85,45,3.09,JP,1635627698
191,Sikonge,-5.6333,78.37,39,97,4.12,TZ,1635627699
192,Iberia,29.9502,70.12,52,1,11.5,US,1635627702
193,Fort Nelson,58.8053,41.83,32,7,3.29,CA,1635627634
194,Kouango,4.9934,73.6,90,93,1.32,CF,1635627704
195,Dali,25.7,53.17,89,24,3.53,CN,1635627706
196,Klaksvík,62.2266,47.32,91,100,12.46,FO,1635627244
197,Opuwo,-18.0607,73.2,22,12,8.37,NA,1635627709
198,Oodweyne,9.4092,71.55,60,3,7.34,SO,1635627711
199,Cherskiy,68.75,-0.96,98,100,5.77,RU,1635627349
200,Muaná,-1.5283,83.21,69,46,6.6,BR,1635627715
201,Chokurdakh,70.6333,1.13,97,100,5.77,RU,1635627607
202,Saskylakh,71.9167,9.75,93,100,11.63,RU,1635627439
203,Erzin,36.9559,66.72,71,66,6.51,TR,1635627718
204,Bredasdorp,-34.5322,56.52,88,67,2.3,ZA,1635627232
205,Ahipara,-35.1667,62.13,89,100,8.01,NZ,1635627224
206,Peniche,39.3558,68.63,94,99,25.66,PT,1635627722
207,Methóni,36.8197,55.26,63,36,8.79,GR,1635627725
208,Carnarvon,-24.8667,66.27,68,0,12.66,AU,1635627449
209,Collingwood,44.4834,47.59,92,100,7.02,CA,1635627602
210,Sinnamary,5.3833,80.73,78,20,6.31,GF,1635627505
211,Adiaké,5.2863,80.19,88,95,5.48,CI,1635627731
212,Mormugao,15.4,79.88,76,99,3.44,IN,1635627717
213,Ciudad Arce,13.8403,79.11,68,98,2.84,SV,1635627733
214,Inhambane,-23.865,71.04,73,0,9.28,MZ,1635627445
215,Daru,-9.0763,80.08,85,96,8.41,PG,1635627530
216,Nome,64.5011,13.1,89,89,6.49,US,1635627293
217,Porto-Novo,6.4965,79.99,85,100,5.88,BJ,1635627632
218,Playas,-2.6333,74.88,76,41,16.26,EC,1635627740
219,Lake Havasu City,34.4839,86.76,15,1,4.0,US,1635627742
220,Olenino,56.2092,45.07,82,10,9.8,RU,1635627743
221,Vardø,70.3705,38.75,74,94,7.7,NO,1635627552
222,Vila Velha,-20.3297,71.47,93,99,4.68,BR,1635627744
223,Presidente Epitácio,-21.7633,74.64,80,99,8.61,BR,1635627747
224,Namatanai,-3.6667,81.7,77,94,7.07,PG,1635627696
225,Emerald,-23.5333,74.34,41,30,23.02,AU,1635627749
226,Novyy Buh,47.6931,44.22,70,0,7.92,UA,1635627752
227,Pingdingshan,33.7385,60.35,70,96,2.77,CN,1635627703
228,Elmina,5.0898,79.03,86,90,10.58,GH,1635627754
229,Price,39.5994,58.46,41,1,0.0,US,1635627756
230,Lumphat,13.4878,73.26,86,15,6.11,KH,1635627757
231,Vila,42.0304,51.06,93,96,4.68,PT,1635627655
232,Darhan,49.4867,30.43,46,55,7.87,MN,1635627749
233,Elizabeth City,36.2946,64.98,61,75,4.0,US,1635627762
234,Hasaki,35.7333,52.2,61,75,6.49,JP,1635627548
235,Te Anau,-45.4167,47.35,94,100,4.14,NZ,1635627765
236,Bo Rai,12.5728,82.85,95,100,2.48,TH,1635627766
237,Chui,-33.6971,69.15,80,84,13.71,UY,1635627397
238,Boralday,43.3578,37.26,93,75,2.24,KZ,1635627769
239,Ponta Delgada,37.7333,72.32,94,75,13.8,PT,1635627770
240,Key West,24.5557,78.71,61,75,14.97,US,1635627773
241,Simbahan,6.3032,82.53,76,71,5.99,PH,1635627774
242,Sitka,57.0531,44.19,84,100,5.48,US,1635627583
243,Danilovka,50.3557,41.11,78,0,5.41,RU,1635627777
244,Mujiayingzi,42.1167,36.45,98,100,4.52,CN,1635627778
245,Krasnosel'kup,65.7,17.19,95,100,10.65,RU,1635627206
246,Champerico,14.3,84.87,77,100,7.34,GT,1635627372
247,Mahabalipuram,12.6264,80.65,84,100,9.75,IN,1635627782
248,Tasiilaq,65.6145,17.8,64,88,5.88,GL,1635627550
249,Sunland Park,31.7965,80.74,24,1,5.99,US,1635627785
250,Khandyga,62.6667,-8.27,100,100,1.03,RU,1635627787
251,Presidencia Roque Sáenz Peña,-26.7852,91.47,38,62,7.25,AR,1635627788
252,Los Llanos de Aridane,28.6585,63.12,73,0,3.0,ES,1635627790
253,Makkah al Mukarramah,21.4267,81.1,59,0,1.28,SA,1635627689
254,Kasongo-Lunda,-6.4667,70.97,96,100,0.74,CD,1635627734
255,Kalemie,-5.9475,71.55,85,55,7.27,CD,1635627794
256,Guerrero Negro,27.9769,75.4,51,0,11.5,MX,1635627795
257,Monte Alegre,-2.0078,84.49,63,14,4.18,BR,1635627796
258,Lagoa,39.05,69.46,91,100,21.47,PT,1635627214
259,Deputatsky,69.3,-6.99,98,99,5.08,RU,1635627580
260,Bam,29.106,69.08,25,9,4.88,IR,1635627800
261,Ji’an,27.1172,59.54,73,10,3.22,CN,1635627801
262,Chicama,-7.8447,63.14,66,27,9.15,PE,1635627803
263,Uşak Province,38.5,52.05,61,12,7.72,TR,1635627804
264,Gandajika,-6.75,71.35,81,97,0.81,CD,1635627806
265,Belaya Gora,68.5333,0.5,98,99,3.89,RU,1635627808
266,Longyearbyen,78.2186,17.8,83,95,2.62,SJ,1635627376
267,Aitape,-3.1374,79.02,87,13,3.71,PG,1635627810
268,Ketchikan,55.3422,45.01,82,91,4.36,US,1635627602
269,Chapais,49.7834,45.79,58,94,6.8,CA,1635627717
270,Sobolevo,54.4299,42.85,80,17,9.37,RU,1635627545
271,Emure,7.4361,74.17,84,100,2.21,NG,1635627815
272,Rocha,-34.4833,70.21,80,100,9.53,UY,1635627489
273,Airai,-8.9266,61.43,91,32,1.16,TL,1635627554
274,Colonia Carlos Antonio López,-26.4,72.41,93,100,0.67,PY,1635627820
275,Coquimbo,-29.9533,60.53,77,20,8.05,CL,1635627821
276,Adré,13.4667,78.39,18,10,6.53,TD,1635627823
277,Caxito,-8.5785,76.8,83,95,4.7,AO,1635627825
278,Kavaratti,10.5669,81.77,72,77,0.83,IN,1635627430
279,Charters Towers,-20.1,75.45,76,13,7.18,AU,1635627827
280,Necochea,-38.5473,56.03,77,100,18.86,AR,1635627660
281,Norman Wells,65.282,19.44,93,90,4.61,CA,1635627831
282,Acapulco de Juárez,16.8634,84.49,71,19,8.39,MX,1635627154
283,Lodwar,3.1191,85.21,44,79,14.58,KE,1635627833
284,Borovoy,55.4333,22.28,79,0,6.71,RU,1635627835
285,Camacha,33.0833,69.21,83,20,10.36,PT,1635627836
286,Vokhma,58.9303,42.48,96,100,6.06,RU,1635627838
287,Amapá,1.0,72.37,98,100,4.16,BR,1635627337
288,Karlstad,59.3793,48.76,100,90,9.22,SE,1635627840
289,Olden,61.8364,46.99,82,100,10.27,NO,1635627843
290,Oak Ridge,36.0104,54.95,88,90,5.75,US,1635627610
291,Gualaco,15.05,89.44,82,92,4.0,HN,1635627846
292,Saint-Augustin,51.226,45.72,57,4,5.32,CA,1635627268
293,Berehove,48.2056,49.21,66,3,3.83,UA,1635627734
294,Slyudyanka,51.6594,34.79,74,84,4.68,RU,1635627849
295,Kamaishi,39.2667,53.02,79,100,6.49,JP,1635627851
296,Sur,22.5667,80.8,51,2,3.98,OM,1635627515
297,Buala,-8.145,82.71,76,88,9.98,SB,1635627558
298,Lundazi,-12.2929,71.49,24,10,6.91,ZM,1635627854
299,Quesnel,52.9999,43.83,30,6,1.66,CA,1635627842
300,Ziway,7.9333,61.43,42,69,7.7,ET,1635627857
301,Puerto Quijarro,-17.7833,97.86,31,40,4.09,BO,1635627858
302,Port Hardy,50.6996,45.43,53,63,4.83,CA,1635627634
303,Murray Bridge,-35.1167,50.45,74,0,5.79,AU,1635627862
304,Pelym,61.0108,16.57,99,80,3.65,RU,1635627863
305,Uíge,-7.6087,67.89,98,100,2.19,AO,1635627856
306,Polyarny,69.1989,23.47,87,100,4.56,RU,1635627866
307,Hīt,33.6416,79.43,39,100,11.56,IQ,1635627867
308,Portland,45.5234,58.82,40,0,4.0,US,1635627605
309,Sola,-13.8833,81.05,69,3,16.82,VU,1635627293
310,Rājmahal,25.05,70.81,52,62,3.71,IN,1635627872
311,Dingle,10.9995,74.57,91,98,8.23,PH,1635627319
312,Sydney,-33.8679,55.98,69,40,7.0,AU,1635627362
313,Kjøpsvik,68.097,43.39,92,100,7.45,NO,1635627877
314,Mitsamiouli,-11.3847,77.65,77,3,9.91,KM,1635627878
315,Yangambi,0.8102,70.43,98,29,2.06,CD,1635627880
316,Carman,49.4992,47.89,34,2,17.38,CA,1635627621
317,Hāgere Selam,6.4833,45.41,83,93,4.36,ET,1635627883
318,Mandalgovi,45.7625,27.57,78,19,7.05,MN,1635627884
319,Half Moon Bay,37.4636,63.46,83,90,1.01,US,1635627633
320,Karratha,-20.7377,72.07,70,0,4.85,AU,1635627269
321,Avera,33.194,60.37,67,100,14.56,US,1635627888
322,Verāval,20.9,76.41,44,93,9.69,IN,1635627890
323,Marabu,4.4148,76.71,91,73,3.38,MY,1635627891
324,Mount Isa,-20.7333,74.97,25,40,12.66,AU,1635627609
325,Castro,-24.7911,64.35,90,82,10.18,BR,1635627410
326,Kieta,-6.2167,80.24,82,96,4.61,PG,1635627894
327,Rehoboth,-23.3167,68.94,15,0,7.4,NA,1635627744
328,São Luiz Gonzaga,-28.4083,66.85,89,98,7.43,BR,1635627897
329,Martapura,-3.4167,75.29,100,90,3.44,ID,1635627656
330,Kimbe,-5.5502,79.39,84,30,3.58,PG,1635627349
331,Roebourne,-20.7833,71.37,72,0,3.29,AU,1635627902
332,Belle Fourche,44.6714,42.15,72,100,14.2,US,1635627631
333,Takāb,36.4009,51.58,49,100,2.57,IR,1635627904
334,Lere,10.387,73.31,31,100,2.57,NG,1635627906
335,Fershampenuaz,53.5202,39.4,94,100,14.36,RU,1635627907
336,Guarapari,-20.6667,71.15,93,100,2.01,BR,1635627731
337,Naze,28.3667,67.42,78,1,7.14,JP,1635627812
338,Wamba,8.9333,75.72,70,100,3.29,NG,1635627752
339,Penzance,50.1186,51.01,78,100,24.94,GB,1635627775
340,Granadilla de Abona,28.1188,62.24,69,20,6.91,ES,1635627913
341,Angol,-37.8,75.4,37,100,6.15,CL,1635627697
342,Newport,51.5877,47.52,88,7,11.39,GB,1635627916
343,Belmonte,-15.8631,77.5,81,95,6.89,BR,1635627919
344,Bukama,-9.2,70.56,92,83,0.47,CD,1635627776
345,Nelson Bay,-32.7167,60.55,72,98,1.99,AU,1635627921
346,Flinders,-34.5833,53.11,84,0,1.01,AU,1635627817
347,Adrar,20.5022,82.53,21,100,15.97,MR,1635627561
348,Pacific Grove,36.6177,61.39,84,40,1.01,US,1635627925
349,Rurrenabaque,-14.4413,97.93,30,13,3.74,BO,1635627926
350,Atar,20.5169,85.46,25,100,3.09,MR,1635627447
351,Walvis Bay,-22.9575,57.09,88,1,6.51,NA,1635627762
352,Ribeira Grande,38.5167,70.74,89,100,16.37,PT,1635627930
353,Cantapoy,9.4906,79.25,81,95,7.11,PH,1635627931
354,Zhigansk,66.7697,-0.08,94,100,18.43,RU,1635627932
355,Manono,-7.3,70.2,96,83,2.28,CD,1635627934
356,Warman,52.3168,40.89,44,25,16.69,CA,1635627935
357,Grevesmühlen,53.8667,51.49,84,99,13.82,DE,1635627937
358,Puerto del Rosario,28.5004,69.55,78,0,8.05,ES,1635627938
359,Mokrous,51.2333,41.65,83,3,8.16,RU,1635627940
360,Belyy Yar,53.6039,36.86,66,0,13.42,RU,1635627765
361,Alihe,50.5667,25.02,50,0,1.66,CN,1635627619
362,Kirakira,-10.4544,83.52,72,81,10.78,SB,1635627944
363,Skjervøy,70.0311,41.14,69,100,9.57,NO,1635627945
364,Preobrazheniye,42.9019,48.72,91,91,5.84,RU,1635627362
365,Codrington,-38.2667,45.77,88,3,8.16,AU,1635627401
366,Bhawānipatna,19.9,71.17,91,100,1.54,IN,1635627949
367,Lüderitz,-26.6481,58.98,94,9,4.43,NA,1635627586
368,Zarechnyy,53.2036,45.32,50,19,6.85,RU,1635627951
369,Simpang,-1.2667,74.59,96,85,1.3,ID,1635627953
370,Viranşehir,37.2353,62.64,61,100,19.13,TR,1635627954
371,Sambava,-14.2667,74.43,87,79,7.87,MG,1635627956
372,East Stroudsburg,40.9995,60.4,85,56,3.71,US,1635627789
373,Havøysund,70.9963,34.68,66,100,8.39,NO,1635627959
374,Hambantota,6.1241,78.51,84,79,3.11,LK,1635627406
375,Shwebo,22.5667,71.44,96,68,5.7,MM,1635627962
376,Tessalit,20.1986,86.23,13,84,9.28,ML,1635627825
377,New Richmond,45.123,56.1,58,1,0.0,US,1635627965
378,Los Lunas,34.8062,74.37,22,0,1.01,US,1635627967
379,Myitkyina,25.3833,64.72,92,1,2.62,MM,1635627968
380,Le Vauclin,14.5452,84.25,65,20,13.8,MQ,1635627970
381,Margate,51.3813,49.55,82,75,1.01,GB,1635627676
382,Meiktila,20.8667,72.16,93,7,6.78,MM,1635627972
383,Río Gallegos,-51.6226,59.86,26,2,8.21,AR,1635627695
384,Arlit,18.7369,84.58,18,45,12.97,NE,1635627654
385,Arrondissement de Bastia,42.6667,63.1,86,90,8.05,FR,1635627976
386,Kismayo,-0.3582,78.53,84,8,11.5,SO,1635627646
387,Yerbogachën,61.2767,33.21,85,100,13.76,RU,1635627617
388,Chachapoyas,-6.2317,63.07,80,82,3.15,PE,1635627979
389,Ismailia,30.6043,71.04,73,76,6.96,EG,1635627981
390,Karlskrona,56.1616,46.85,81,100,11.01,SE,1635627982
391,Sibolga,1.7427,76.44,88,100,2.55,ID,1635627984
392,Rabo de Peixe,37.8,72.28,92,75,13.8,PT,1635627985
393,Porto Walter,-8.2686,85.96,53,99,2.66,BR,1635627986
394,Gaoyou,32.7858,54.93,70,63,4.99,CN,1635627988
395,Aklavik,68.2191,17.6,86,40,3.44,CA,1635627696
396,Pangkalanbuun,-2.6833,74.28,96,100,2.26,ID,1635627990
397,Paracuru,-3.41,80.11,76,31,9.89,BR,1635627787
398,Nehe,48.4833,27.21,49,14,9.62,CN,1635627993
399,Tonaya,19.7833,83.89,50,1,5.53,MX,1635627995
400,Superior,46.7208,50.86,70,1,6.91,US,1635627997
401,Svetlaya,46.5389,45.19,80,99,17.65,RU,1635627999
402,Bismarck,46.8083,50.83,49,40,17.27,US,1635627950
403,Jacareacanga,-6.2222,86.47,57,43,2.35,BR,1635627793
404,Sechura,-5.5569,73.8,60,17,15.88,PE,1635627459
405,Pouembout,-21.1333,77.43,63,2,2.17,NC,1635628003
406,Ormara,25.2088,79.99,62,2,10.13,PK,1635628005
407,Monopoli,40.9559,58.96,69,0,3.94,IT,1635628006
408,Langå,56.3903,51.55,80,100,12.37,DK,1635628008
409,Pizarro,4.9533,77.86,88,94,8.19,CO,1635628009
410,Minsk,53.9,46.15,77,53,11.9,BY,1635628011
411,Phaltan,17.9833,72.18,69,13,4.88,IN,1635628012
412,Doka,13.5167,83.46,36,32,2.3,SD,1635628014
413,Poso,-1.3959,76.06,84,69,3.71,ID,1635628015
